date,deaths_new
2020-09-01,9
2020-09-02,10
2020-09-03,10
2020-09-04,10
2020-09-05,11
2020-09-06,9
2020-09-08,11
2020-09-09,10
2020-09-10,11
2020-09-11,13
2020-09-12,10
2020-09-13,11
2020-09-14,13
2020-09-15,10
2020-09-16,12
2020-09-17,9
2020-09-18,11
2020-09-19,9
2020-09-20,8
2020-09-21,9
2020-09-22,10
2020-09-23,10
2020-09-24,8
2020-09-25,10
2020-09-26,11
2020-09-27,9
2020-09-28,7
2020-09-29,9
2020-09-30,11
2020-10-01,8
2020-10-02,10
2020-10-03,8
2020-10-04,10
2020-10-05,8
2020-10-06,10
2020-10-07,8
2020-10-08,12
2020-10-09,7
2020-10-10,9
2020-10-11,5
2020-10-12,6
2020-10-13,5
2020-10-14,8
2020-10-15,8
2020-10-16,7
2020-10-17,9
2020-10-18,6
2020-10-19,4
2020-10-20,7
2020-10-21,5
2020-10-22,5
2020-10-23,6
2020-10-24,5
2020-10-25,4
2020-10-26,4
2020-10-27,4
2020-10-28,4
2020-10-29,5
2020-10-30,6
2020-11-01,5
2020-11-02,7
2020-11-03,3
2020-11-04,6
2020-11-05,5
2020-11-06,4
2020-11-07,6
2020-11-08,5
2020-11-09,4
2020-11-10,4
2020-11-11,5
2020-11-12,3
2020-11-13,4
2020-11-14,4
2020-11-15,3
2020-11-16,3
2020-11-17,3
2020-11-18,5
2020-11-19,4
2020-11-20,4
2020-11-21,3
2020-11-22,4
2020-11-23,3
2020-11-24,4
2020-11-25,4
2020-11-26,3
2020-11-27,4
2020-11-28,3
2020-11-29,4
2020-11-30,3
2020-12-10,2
2020-12-11,3
2020-12-12,4
2020-12-13,4
2020-12-15,3
2020-12-16,3
2020-12-17,3
2020-12-18,1
2020-12-19,4
2020-12-20,3
2020-12-21,2
2020-12-22,3
2020-12-23,4
2020-12-24,2
2020-12-25,3
2020-12-26,2
2020-12-27,2
2020-12-28,2
2020-12-29,2
2020-12-30,3
2021-01-01,3
2021-01-02,2
2021-01-03,3
2021-01-04,2
2021-01-05,3
2021-01-06,2
2021-01-07,3
2021-01-08,2
2021-01-09,2
2021-01-10,2
2021-01-11,1
2021-01-12,2
2021-01-13,3
2021-01-14,1
2021-01-15,2
2021-01-16,1
2021-01-17,2
2021-01-18,2
2021-01-19,2
2021-01-20,2
2021-01-21,1
2021-01-22,2
2021-01-23,2
